Datetime,Open,High,Low,Close,Volume,EMA9,EMA20,EMA50,RSI,VWAP
2025-07-31 09:15:00+05:30,55728.15,55959.4,55694.35,55879.35,0,55879.35,55879.35,55879.35,,
2025-07-31 09:16:00+05:30,55881.25,55884.25,55820.0,55820.7,0,55867.62,55873.76428571428,55877.05,,
2025-07-31 09:17:00+05:30,55821.1,55830.35,55757.75,55811.7,0,55856.436,55867.85340136054,55874.487254901964,,
2025-07-31 09:18:00+05:30,55815.15,55861.1,55804.2,55850.1,0,55855.1688,55866.162601230964,55873.530891964634,,
2025-07-31 09:19:00+05:30,55854.05,55860.05,55822.45,55835.05,0,55851.14504,55863.19949635182,55872.02183737779,,
2025-07-31 09:20:00+05:30,55834.05,55881.4,55808.9,55854.85,0,55851.88603200001,55862.40430622308,55871.348431990424,,
2025-07-31 09:21:00+05:30,55861.1,55884.45,55832.85,55842.85,0,55850.07882560001,55860.54199134469,55870.23084642217,,
2025-07-31 09:22:00+05:30,55847.55,55850.65,55803.1,55839.7,0,55848.00306048001,55858.55703978805,55869.03355832718,,
2025-07-31 09:23:00+05:30,55844.7,55900.45,55839.7,55864.15,0,55851.23244838401,55859.089702665384,55868.84204623592,,
2025-07-31 09:24:00+05:30,55865.25,55876.85,55851.25,55874.55,0,55855.89595870722,55860.56211193535,55869.065887560006,,
2025-07-31 09:25:00+05:30,55873.75,55879.7,55817.95,55832.0,0,55851.11676696578,55857.841910798656,55867.61232334197,,
2025-07-31 09:26:00+05:30,55832.85,55866.45,55829.8,55865.3,0,55853.95341357263,55858.55220500831,55867.521643995235,,
2025-07-31 09:27:00+05:30,55861.15,55900.8,55861.15,55887.65,0,55860.69273085811,55861.32342357894,55868.310991289545,,
2025-07-31 09:28:00+05:30,55887.4,55894.3,55866.75,55879.3,0,55864.41418468649,55863.03547847619,55868.74193280761,49.99159522608915,
2025-07-31 09:29:00+05:30,55880.1,55886.2,55854.45,55864.7,0,55864.4713477492,55863.1940043356,55868.58342563869,47.6526197724722,
2025-07-31 09:30:00+05:30,55864.05,55866.25,55821.9,55843.55,0,55860.28707819936,55861.32314677983,55867.601722672465,54.161354944455574,
2025-07-31 09:31:00+05:30,55842.85,55863.7,55818.9,55859.0,0,55860.02966255949,55861.10189470556,55867.26440021473,58.41637010676209,
2025-07-31 09:32:00+05:30,55860.25,55883.25,55858.3,55872.4,0,55862.5037300476,55862.1779047336,55867.465796284734,54.355468750000576,
2025-07-31 09:33:00+05:30,55867.5,55876.8,55835.85,55839.85,0,55857.97298403809,55860.051437616115,55866.38282388142,50.87751371115092,
2025-07-31 09:34:00+05:30,55839.6,55859.0,55833.25,55857.6,0,55857.89838723048,55859.817967366966,55866.03839941548,50.50653895745071,
2025-07-31 09:35:00+05:30,55858.8,55863.6,55829.6,55836.3,0,55853.57870978439,55857.57816095106,55864.8721876737,48.83348174532583,
2025-07-31 09:36:00+05:30,55837.65,55843.3,55819.65,55824.65,0,55847.79296782752,55854.442145622386,55863.294846980614,47.39844425237766,
