Datetime,Open,High,Low,Close,Volume,EMA9,EMA20,EMA50,RSI14,VWAP
2025-08-04 10:45:00,5557145.0,5557145.0,5557145.0,5557145.0,0.0,,,,,
2025-08-04 10:48:00,5555565.0,5555565.0,5555565.0,5555565.0,0.0,,,,,
2025-08-04 10:51:00,5547895.0,5547895.0,5547895.0,5547895.0,0.0,,,,,
2025-08-04 10:54:00,5551050.0,5551050.0,5551050.0,5551050.0,0.0,,,,,
2025-08-04 10:57:00,5552450.0,5552450.0,5552450.0,5552450.0,0.0,,,,,
2025-08-04 11:00:00,5549875.0,5549875.0,5549875.0,5549875.0,0.0,,,,,
2025-08-04 11:03:00,5552845.0,5552845.0,5552845.0,5552845.0,0.0,,,,,
2025-08-04 11:06:00,5557835.0,5557835.0,5557835.0,5557835.0,0.0,,,,,
2025-08-04 11:09:00,5552900.0,5552900.0,5552900.0,5552900.0,0.0,,,,,
2025-08-04 11:12:00,5555145.0,5555145.0,5555145.0,5555145.0,0.0,,,,,
2025-08-04 11:15:00,5557720.0,5557720.0,5557720.0,5557720.0,0.0,,,,,
2025-08-05 10:33:00,5540900.0,5540900.0,5540900.0,5540900.0,0.0,,,,,
2025-08-05 10:36:00,5544410.0,5544410.0,5544410.0,5544410.0,0.0,,,,,
2025-08-05 10:39:00,5546465.0,5546465.0,5546465.0,5546465.0,0.0,,,,,
2025-08-05 10:42:00,5543595.0,5543595.0,5543595.0,5543595.0,0.0,,,,,
2025-08-05 10:45:00,5543535.0,5543535.0,5543535.0,5543535.0,0.0,,,,,
2025-08-05 10:48:00,5542875.0,5542875.0,5542875.0,5542875.0,0.0,,,,,
2025-08-05 10:51:00,5543325.0,5543325.0,5543325.0,5543325.0,0.0,,,,,
2025-08-05 10:54:00,5543665.0,5543665.0,5543665.0,5543665.0,0.0,,,,,
2025-08-05 10:57:00,5543465.0,5543465.0,5543465.0,5543465.0,0.0,,,,,
2025-08-05 11:00:00,5542615.0,5542615.0,5542615.0,5542615.0,0.0,,,,,
2025-08-05 11:03:00,5543195.0,5543195.0,5543195.0,5543195.0,0.0,,,,,
2025-08-05 11:06:00,5542660.0,5542660.0,5542660.0,5542660.0,0.0,,,,,
2025-08-05 11:09:00,5537445.0,5537445.0,5537445.0,5537445.0,0.0,,,,,
2025-08-05 11:12:00,5541050.0,5541050.0,5541050.0,5541050.0,0.0,,,,,
2025-08-05 11:15:00,5545650.0,5545650.0,5545650.0,5545650.0,0.0,,,,,
2025-08-05 11:18:00,5542545.0,5542545.0,5542545.0,5542545.0,0.0,,,,,
2025-08-05 11:21:00,5544375.0,5544375.0,5544375.0,5544375.0,0.0,,,,,
2025-08-05 11:24:00,5544500.0,5544500.0,5544500.0,5544500.0,0.0,,,,,
2025-08-05 11:27:00,5545315.0,5545315.0,5545315.0,5545315.0,0.0,,,,,
2025-08-05 11:30:00,5545745.0,5545745.0,5545745.0,5545745.0,0.0,,,,,
2025-08-05 11:42:00,5544630.0,5544630.0,5544630.0,5544630.0,0.0,,,,,
2025-08-05 11:45:00,5546110.0,5546110.0,5546110.0,5546110.0,0.0,,,,,
2025-08-05 11:48:00,5545480.0,5545480.0,5545480.0,5545480.0,0.0,,,,,
2025-08-05 11:51:00,5545150.0,5545150.0,5545150.0,5545150.0,0.0,,,,,
2025-08-05 11:54:00,5542835.0,5542835.0,5542835.0,5542835.0,0.0,,,,,
2025-08-05 11:57:00,5543475.0,5543475.0,5543475.0,5543475.0,0.0,,,,,
2025-08-05 12:00:00,5542125.0,5542125.0,5542125.0,5542125.0,0.0,,,,,
2025-08-05 12:03:00,5543945.0,5543945.0,5543945.0,5543945.0,0.0,,,,,
2025-08-05 12:06:00,5543220.0,5543220.0,5543220.0,5543220.0,0.0,,,,,
2025-08-05 12:09:00,5543755.0,5543755.0,5543755.0,5543755.0,0.0,,,,,
2025-08-05 12:12:00,5549555.0,5549555.0,5549555.0,5549555.0,0.0,,,,,
2025-08-05 12:15:00,5549490.0,5549490.0,5549490.0,5549490.0,0.0,,,,,
2025-08-05 12:18:00,5549005.0,5549005.0,5549005.0,5549005.0,0.0,,,,,
2025-08-05 12:21:00,5549765.0,5549765.0,5549765.0,5549765.0,0.0,,,,,
2025-08-05 12:24:00,5549625.0,5549625.0,5549625.0,5549625.0,0.0,,,,,
2025-08-05 12:27:00,5549445.0,5549445.0,5549445.0,5549445.0,0.0,,,,,
